Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.941000,-108.254800,180.000000,top
"C2","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.432000,-106.172000,270.000000,top
"C3","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.352000,-106.172000,270.000000,top
"SW1","BTN1","SW_Push_1P1T_NO_6x6mm_H9.5mm",187.528200,-111.239300,0.000000,top
"SW2","BTN2","SW_Push_1P1T_NO_6x6mm_H9.5mm",187.528200,-101.079300,0.000000,top
"U1","ATmega8-16AU","TQFP-32_7x7mm_P0.8mm",163.744000,-101.728800,270.000000,top
